student_id,week,true_risk,lms_logins,attendance_pct,sentiment_score,submission_delay,forum_posts,video_completion,login_slope,attendance_drop,delay_variance,sentiment_decline,engagement_volatility,sudden_drop,behavioral_drift_score,risk_label,dropout_prob
1,1,low,17,0.91,0.59,1,6,0.84,0,0,0,0,,0,0,0,0.03
1,2,low,17,0.88,0.75,1,7,0.66,0,0.03,0,-0.16,0,0,0.011,0,0.04
1,3,low,18,0.87,0.6,1,6,0.73,0.5,0.04,0,-0.01,0.033,0,0.014,0,0.04
1,4,low,14,0.89,0.6,1,5,0.93,-0.8,0.02,0,-0.01,0.105,0,0.039,0,0.05
1,5,low,16,0.85,0.69,0,4,0.86,-0.5,0.06,0.2,-0.1,0.092,0,0.041,0,0.03
1,6,low,18,0.84,0.48,0,5,0.73,-0.057,0.07,0.267,0.11,0.09,0,0.041,0,0.04
1,7,low,14,0.81,0.48,1,5,0.66,-0.321,0.1,0.238,0.11,0.105,0,0.062,0,0.09
1,8,low,16,0.8,0.44,1,2,0.56,-0.238,0.11,0.214,0.15,0.097,0,0.067,0,0.1
2,1,medium,6,0.6,0.02,2,5,0.98,0,0,0,0,,0,0,1,0.06
2,2,medium,5,0.58,-0.05,2,5,0.56,-1,0.02,0,0.07,0.129,0,0.056,1,0.09
2,3,medium,6,0.5,-0.24,1,3,0.87,0,0.1,0.333,0.26,0.102,0,0.068,1,0.1
2,4,medium,5,0.45,-0.33,3,6,0.45,-0.2,0.15,0.667,0.35,0.105,0,0.104,1,0.2
2,5,medium,1,0.41,-0.38,3,3,0.44,-1,0.19,0.7,0.4,0.451,1,0.156,1,0.23
2,6,medium,3,0.36,-0.35,2,2,0.35,-0.8,0.24,0.567,0.37,0.454,0,0.162,1,0.21
2,7,medium,1,0.28,-0.47,3,6,0.37,-0.857,0.32,0.571,0.49,0.569,1,0.208,1,0.29
2,8,medium,2,0.22,-0.54,3,0,0.33,-0.726,0.38,0.554,0.56,0.589,0,0.232,1,0.33
3,1,high,3,0.51,-0.4,3,5,0.64,0,0,0,0,,0,0,2,0.09
3,2,high,0,0.37,-0.5,6,6,0.7,-3,0.14,4.5,0.1,1.414,1,0.181,2,0.28
3,3,high,4,0.24,-0.71,4,3,0.42,0.5,0.27,2.333,0.31,0.892,0,0.133,2,0.27
3,4,high,0,0.16,-0.78,6,6,0.42,-0.5,0.35,2.25,0.38,1.178,1,0.19,2,0.37
3,5,high,2,0,-0.78,4,1,0.17,-0.2,0.51,1.8,0.38,0.994,0,0.234,2,0.38
3,6,high,0,0,-1,2,1,0.17,-0.371,0.51,2.567,0.6,1.174,1,0.268,2,0.35
3,7,high,1,0,-1,4,0,0.07,-0.286,0.51,2.143,0.6,1.133,0,0.265,2,0.41
3,8,high,0,0,-1,4,3,0,-0.31,0.51,1.839,0.6,1.265,1,0.266,2,0.41
4,1,medium,8,0.58,0.42,3,2,0.66,0,0,0,0,,0,0,1,0.09
4,2,medium,4,0.53,0.42,2,6,0.68,-4,0.05,0.5,0,0.471,1,0.177,1,0.13
4,3,medium,4,0.46,0.19,2,7,0.58,-2,0.12,0.333,0.23,0.433,0,0.151,1,0.16
4,4,medium,6,0.39,0.18,1,7,0.57,-0.6,0.19,0.667,0.24,0.348,0,0.121,1,0.15
4,5,medium,6,0.42,0.12,3,1,0.42,-0.2,0.16,0.7,0.3,0.299,0,0.101,1,0.19
4,6,medium,4,0.28,-0.01,3,4,0.31,-0.343,0.3,0.667,0.43,0.306,0,0.172,1,0.27
4,7,medium,4,0.28,-0.01,3,4,0.62,-0.357,0.3,0.619,0.43,0.306,0,0.173,1,0.27
4,8,medium,3,0.22,0,1,0,0.26,-0.417,0.36,0.786,0.42,0.337,0,0.195,1,0.24
5,1,medium,4,0.63,0.2,1,3,1,0,0,0,0,,0,0,1,0.03
5,2,medium,5,0.52,0.21,3,2,0.65,1,0.11,2,-0.01,0.157,0,0.038,1,0.13
5,3,medium,4,0.48,0.16,2,2,0.74,0,0.15,1,0.04,0.133,0,0.058,1,0.12
5,4,medium,4,0.44,0.07,2,4,0.57,-0.1,0.19,0.667,0.13,0.118,0,0.087,1,0.15
5,5,medium,1,0.35,-0.14,2,2,0.55,-0.7,0.28,0.5,0.34,0.421,1,0.168,1,0.23
5,6,medium,3,0.29,-0.16,1,4,0.39,-0.486,0.34,0.567,0.36,0.394,0,0.183,1,0.22
5,7,medium,5,0.19,-0.19,3,3,0.5,-0.143,0.44,0.667,0.39,0.372,0,0.208,1,0.32
5,8,medium,0,0.16,-0.22,2,5,0.28,-0.405,0.47,0.571,0.42,0.564,1,0.233,1,0.31
6,1,high,5,0.42,0,5,2,0.68,0,0,0,0,,0,0,2,0.14
6,2,high,6,0.27,-0.11,2,2,0.88,1,0.15,4.5,0.11,0.129,0,0.066,2,0.13
6,3,high,5,0.13,-0.17,5,1,0.74,0,0.29,3,0.17,0.108,0,0.123,2,0.28
6,4,high,5,0.03,-0.27,4,4,0.58,-0.1,0.39,2,0.27,0.095,0,0.174,2,0.31
6,5,high,4,0,-0.41,4,1,0.34,-0.3,0.42,1.5,0.41,0.141,0,0.21,2,0.34
6,6,high,1,0,-0.69,3,4,0.14,-0.743,0.42,1.367,0.69,0.404,1,0.263,2,0.36
6,7,high,1,0,-0.76,2,0,0.16,-0.821,0.42,1.619,0.76,0.528,0,0.275,2,0.34
6,8,high,2,0,-0.86,3,0,0,-0.702,0.42,1.429,0.86,0.55,0,0.283,2,0.38
7,1,low,12,0.83,0.82,1,5,0.95,0,0,0,0,,0,0,0,0.03
7,2,low,14,0.86,0.81,0,7,0.71,2,-0.03,0.5,0.01,0.109,0,0.001,0,0
7,3,low,12,0.84,0.76,1,3,0.57,0,-0.01,0.333,0.06,0.091,0,0.008,0,0.03
7,4,low,14,0.77,0.74,0,5,0.67,0.4,0.06,0.333,0.08,0.089,0,0.031,0,0.04
7,5,low,14,0.77,0.85,0,5,0.86,0.4,0.06,0.3,-0.03,0.083,0,0.021,0,0.02
7,6,low,13,0.77,0.78,1,5,0.55,0.2,0.06,0.3,0.04,0.075,0,0.026,0,0.06
7,7,low,11,0.76,0.68,0,4,0.66,-0.107,0.07,0.286,0.14,0.094,0,0.046,0,0.05
7,8,low,11,0.69,0.79,0,2,0.74,-0.226,0.14,0.268,0.03,0.103,0,0.062,0,0.06
8,1,low,15,0.81,0.36,1,6,0.9,0,0,0,0,,0,0,0,0.03
8,2,low,18,0.78,0.36,1,3,0.72,3,0.03,0,0,0.129,0,0.011,0,0.04
8,3,low,18,0.71,0.33,1,6,0.6,1.5,0.1,0,0.03,0.102,0,0.039,0,0.07
8,4,low,16,0.7,0.24,1,6,0.73,0.3,0.11,0,0.12,0.09,0,0.054,0,0.09
8,5,low,13,0.71,0.35,1,3,0.9,-0.6,0.1,0,0.01,0.133,0,0.06,0,0.08
8,6,low,16,0.64,0.28,1,4,0.7,-0.343,0.17,0,0.08,0.119,0,0.083,0,0.11
8,7,low,12,0.67,0.32,1,3,0.49,-0.643,0.14,0,0.04,0.149,0,0.08,0,0.1
8,8,low,14,0.68,0.3,0,5,0.51,-0.548,0.13,0.125,0.06,0.143,0,0.075,0,0.07
9,1,high,1,0.59,-0.63,6,6,0.69,0,0,0,0,,0,0,2,0.17
9,2,high,1,0.41,-0.67,2,3,0.61,0,0.18,8,0.04,0,0,0.068,2,0.14
9,3,high,1,0.35,-0.85,4,1,0.56,0,0.24,4,0.22,0,0,0.111,2,0.24
9,4,high,0,0.24,-0.91,6,4,0.41,-0.3,0.35,3.667,0.28,0.667,1,0.169,2,0.36
9,5,high,3,0.07,-1,2,2,0.52,0.3,0.52,4,0.37,0.913,0,0.228,2,0.32
9,6,high,2,0,-1,6,2,0.17,0.286,0.59,3.867,0.37,0.775,0,0.253,2,0.46
9,7,high,2,0,-1,2,0,0.08,0.25,0.59,4,0.37,0.683,0,0.253,2,0.35
9,8,high,0,0,-1,2,1,0,0.048,0.59,3.929,0.37,0.828,1,0.253,2,0.35
10,1,high,5,0.35,0.08,6,6,0.72,0,0,0,0,,0,0,2,0.17
10,2,high,1,0.23,-0.12,6,2,0.53,-4,0.12,0,0.2,0.943,1,0.227,2,0.3
10,3,high,5,0.1,-0.28,3,5,0.65,0,0.25,3,0.36,0.63,0,0.133,2,0.24
10,4,high,4,0,-0.38,5,1,0.54,0.1,0.35,2,0.46,0.505,0,0.18,2,0.35
10,5,high,3,0,-0.36,6,1,0.28,-0.1,0.35,1.7,0.44,0.465,0,0.181,2,0.37
10,6,high,1,0,-0.63,6,4,0.39,-0.429,0.35,1.467,0.71,0.579,1,0.228,2,0.42
10,7,high,3,0,-0.6,2,3,0.18,-0.286,0.35,2.81,0.68,0.533,0,0.219,2,0.3
10,8,high,1,0,-0.73,4,0,0.12,-0.369,0.35,2.5,0.81,0.601,1,0.239,2,0.37
11,1,low,9,0.84,0.58,0,2,0.9,0,0,0,0,,0,0,0,0
11,2,low,9,0.8,0.6,0,5,0.69,0,0.04,0,-0.02,0,0,0.014,0,0.02
11,3,low,7,0.75,0.58,1,6,0.95,-1,0.09,0.333,0,0.139,0,0.072,0,0.08
11,4,low,11,0.74,0.37,0,4,0.91,0.4,0.1,0.25,0.21,0.181,0,0.061,0,0.07
11,5,low,10,0.74,0.54,1,2,0.61,0.4,0.1,0.3,0.04,0.161,0,0.04,0,0.07
11,6,low,7,0.73,0.44,1,2,0.87,-0.086,0.11,0.3,0.14,0.181,0,0.059,0,0.09
11,7,low,7,0.74,0.48,1,5,0.61,-0.25,0.1,0.286,0.1,0.189,0,0.057,0,0.09
11,8,low,7,0.64,0.38,1,5,0.69,-0.298,0.2,0.268,0.2,0.191,0,0.107,0,0.14
12,1,low,14,0.79,0.54,0,5,0.71,0,0,0,0,,0,0,0,0
12,2,low,17,0.84,0.61,1,4,0.87,3,-0.05,0.5,-0.07,0.137,0,0,0,0.01
12,3,low,13,0.77,0.61,1,4,0.58,-0.5,0.02,0.333,-0.07,0.142,0,0.027,0,0.04
12,4,low,13,0.78,0.5,0,2,0.69,-0.7,0.01,0.333,0.04,0.133,0,0.037,0,0.02
12,5,low,13,0.72,0.58,0,2,0.86,-0.6,0.07,0.3,-0.04,0.124,0,0.048,0,0.04
12,6,low,13,0.67,0.39,0,7,0.78,-0.486,0.12,0.267,0.15,0.116,0,0.08,0,0.07
12,7,low,16,0.74,0.54,0,6,0.77,-0.071,0.05,0.238,0,0.119,0,0.02,0,0.02
12,8,low,12,0.71,0.37,1,2,0.51,-0.226,0.08,0.268,0.17,0.124,0,0.058,0,0.09
13,1,high,4,0.27,-0.11,3,3,0.81,0,0,0,0,,0,0,2,0.09
13,2,high,4,0.16,-0.08,5,6,0.52,0,0.11,2,-0.03,0,0,0.038,2,0.19
13,3,high,3,0.03,-0.35,6,5,0.62,-0.5,0.24,2.333,0.24,0.157,0,0.134,2,0.31
13,4,high,3,0,-0.47,5,2,0.38,-0.4,0.27,1.583,0.36,0.165,0,0.156,2,0.31
13,5,high,1,0,-0.5,4,1,0.26,-0.7,0.27,1.3,0.39,0.408,1,0.171,2,0.29
13,6,high,0,0,-0.65,3,1,0.28,-0.829,0.27,1.467,0.54,0.657,1,0.195,2,0.28
13,7,high,3,0,-0.67,3,0,0,-0.464,0.27,1.476,0.56,0.588,0,0.183,2,0.28
13,8,high,2,0,-0.88,6,3,0.01,-0.357,0.27,1.696,0.77,0.566,0,0.205,2,0.39
14,1,low,10,0.85,0.6,1,5,0.74,0,0,0,0,,0,0,0,0.03
14,2,low,9,0.9,0.55,1,3,0.82,-1,-0.05,0,0.05,0.074,0,0.046,0,0.03
14,3,low,9,0.8,0.46,1,3,0.63,-0.5,0.05,0,0.14,0.062,0,0.055,0,0.07
14,4,low,11,0.83,0.51,1,3,0.9,0.3,0.02,0,0.09,0.098,0,0.018,0,0.05
14,5,low,7,0.8,0.53,0,3,0.84,-0.4,0.05,0.2,0.07,0.161,0,0.042,0,0.03
14,6,low,7,0.8,0.47,0,6,0.5,-0.543,0.05,0.267,0.13,0.181,0,0.055,0,0.04
14,7,low,9,0.79,0.5,0,5,0.56,-0.321,0.06,0.286,0.1,0.165,0,0.046,0,0.04
14,8,low,7,0.77,0.43,1,6,0.48,-0.369,0.08,0.268,0.17,0.175,0,0.064,0,0.09
15,1,low,10,0.93,0.84,1,7,0.81,0,0,0,0,,0,0,0,0.03
15,2,low,7,0.93,0.83,0,2,0.92,-3,0,0.5,0.01,0.25,0,0.121,0,0.04
15,3,low,8,0.89,0.82,0,5,0.75,-1,0.04,0.333,0.02,0.183,0,0.057,0,0.03
15,4,low,8,0.9,0.86,0,5,0.75,-0.5,0.03,0.25,-0.02,0.153,0,0.031,0,0.02
15,5,low,8,0.85,0.85,1,4,0.67,-0.3,0.08,0.3,-0.01,0.134,0,0.04,0,0.06
15,6,low,11,0.81,0.85,1,4,0.64,0.229,0.12,0.3,-0.01,0.174,0,0.042,0,0.08
15,7,low,10,0.79,0.88,0,7,0.57,0.286,0.14,0.286,-0.04,0.165,0,0.049,0,0.06
15,8,low,9,0.82,0.69,1,2,0.49,0.202,0.11,0.286,0.15,0.153,0,0.057,0,0.09
16,1,medium,10,0.72,0.48,3,7,0.99,0,0,0,0,,0,0,1,0.09
16,2,medium,10,0.68,0.38,3,3,0.65,0,0.04,0,0.1,0,0,0.026,1,0.12
16,3,medium,10,0.56,0.37,3,5,0.68,0,0.16,0,0.11,0,0,0.07,1,0.17
16,4,medium,7,0.53,0.26,2,7,0.65,-0.9,0.19,0.25,0.22,0.162,0,0.13,1,0.18
16,5,medium,8,0.51,0.12,3,1,0.51,-0.7,0.21,0.2,0.36,0.157,0,0.146,1,0.23
16,6,medium,6,0.41,0.11,2,5,0.57,-0.829,0.31,0.267,0.37,0.207,0,0.188,1,0.24
16,7,medium,8,0.32,0.07,1,1,0.48,-0.571,0.4,0.619,0.41,0.192,0,0.214,1,0.25
16,8,medium,6,0.27,0.06,2,3,0.57,-0.583,0.45,0.554,0.42,0.213,0,0.233,1,0.3
17,1,low,15,0.95,0.41,1,5,0.94,0,0,0,0,,0,0,0,0.03
17,2,low,14,1,0.28,1,4,0.65,-1,-0.05,0,0.13,0.049,0,0.056,0,0.04
17,3,low,16,0.93,0.35,1,5,0.69,0.5,0.02,0,0.06,0.067,0,0.014,0,0.04
17,4,low,13,0.93,0.37,0,7,0.9,-0.4,0.02,0.25,0.04,0.089,0,0.028,0,0.02
17,5,low,15,0.9,0.33,0,2,0.61,-0.1,0.05,0.3,0.08,0.078,0,0.031,0,0.03
17,6,low,11,0.89,0.27,0,4,0.72,-0.571,0.06,0.3,0.14,0.128,0,0.061,0,0.05
17,7,low,13,0.89,0.21,1,5,0.8,-0.464,0.06,0.286,0.2,0.121,0,0.065,0,0.09
17,8,low,14,0.86,0.27,0,5,0.86,-0.298,0.09,0.286,0.14,0.112,0,0.061,0,0.06
18,1,high,6,0.31,-0.13,4,3,0.74,0,0,0,0,,0,0,2,0.11
18,2,high,6,0.14,-0.23,5,6,0.7,0,0.17,0.5,0.1,0,0,0.072,2,0.23
18,3,high,5,0.03,-0.38,3,3,0.62,-0.5,0.28,1,0.25,0.102,0,0.149,2,0.24
18,4,high,3,0,-0.5,4,5,0.57,-1,0.31,0.667,0.37,0.283,0,0.195,2,0.3
18,5,high,1,0,-0.72,3,5,0.37,-1.3,0.31,0.7,0.59,0.516,1,0.234,2,0.31
18,6,high,1,0,-0.78,2,0,0.01,-1.2,0.31,1.1,0.65,0.638,0,0.238,2,0.29
18,7,high,2,0,-0.98,5,3,0.25,-0.929,0.31,1.238,0.85,0.649,0,0.252,2,0.4
18,8,high,0,0,-1,2,3,0,-0.905,0.31,1.429,0.87,0.797,1,0.253,2,0.31
19,1,low,18,1,0.63,1,2,0.73,0,0,0,0,,0,0,0,0.03
19,2,low,15,0.97,0.52,0,6,0.71,-3,0.03,0.5,0.11,0.129,0,0.144,0,0.06
19,3,low,16,0.97,0.54,0,5,0.77,-1,0.03,0.333,0.09,0.094,0,0.062,0,0.04
19,4,low,15,0.96,0.49,0,3,0.91,-0.8,0.04,0.25,0.14,0.088,0,0.064,0,0.05
19,5,low,14,0.85,0.56,1,2,0.72,-0.8,0.15,0.3,0.07,0.097,0,0.093,0,0.11
19,6,low,16,0.92,0.43,0,4,0.75,-0.4,0.08,0.267,0.2,0.087,0,0.069,0,0.06
19,7,low,15,0.83,0.44,0,5,0.66,-0.321,0.17,0.238,0.19,0.082,0,0.096,0,0.1
19,8,low,14,0.83,0.34,0,2,0.58,-0.345,0.17,0.214,0.29,0.085,0,0.11,0,0.11
20,1,low,16,0.87,0.82,1,4,0.63,0,0,0,0,,0,0,0,0.03
20,2,low,13,0.83,0.82,1,2,0.74,-3,0.04,0,0,0.146,0,0.134,0,0.08
20,3,low,13,0.78,0.74,0,4,0.71,-1.5,0.09,0.333,0.08,0.124,0,0.102,0,0.07
20,4,low,12,0.84,0.79,0,5,0.88,-1.2,0.03,0.333,0.03,0.128,0,0.062,0,0.03
20,5,low,14,0.77,0.77,0,4,0.72,-0.5,0.1,0.3,0.05,0.112,0,0.061,0,0.05
20,6,low,10,0.79,0.68,0,5,0.6,-0.8,0.08,0.267,0.14,0.154,0,0.077,0,0.06
20,7,low,11,0.77,0.82,1,7,0.81,-0.714,0.1,0.286,0,0.155,0,0.064,0,0.08
20,8,low,13,0.76,0.63,1,3,0.47,-0.452,0.11,0.286,0.19,0.144,0,0.08,0,0.1
21,1,low,14,0.97,0.28,1,2,0.93,0,0,0,0,,0,0,0,0.03
21,2,low,14,0.93,0.34,0,5,0.91,0,0.04,0.5,-0.06,0,0,0.014,0,0.02
21,3,low,15,0.91,0.27,1,6,0.68,0.5,0.06,0.333,0.01,0.04,0,0.022,0,0.05
21,4,low,14,0.95,0.29,0,3,0.77,0.1,0.02,0.333,-0.01,0.035,0,0.007,0,0.01
21,5,low,12,0.92,0.28,0,3,0.53,-0.4,0.05,0.3,0,0.079,0,0.034,0,0.03
21,6,low,10,0.87,0.22,0,2,0.56,-0.771,0.1,0.267,0.06,0.139,0,0.073,0,0.06
21,7,low,12,0.83,0.1,0,6,0.76,-0.607,0.14,0.238,0.18,0.133,0,0.096,0,0.09
21,8,low,14,0.77,0.24,0,3,0.69,-0.321,0.2,0.214,0.04,0.125,0,0.088,0,0.09
22,1,low,9,0.82,0.5,0,4,0.96,0,0,0,0,,0,0,0,0
22,2,low,7,0.84,0.6,0,6,0.65,-2,-0.02,0,-0.1,0.177,0,0.08,0,0.02
22,3,low,9,0.85,0.54,1,3,0.73,0,-0.03,0.333,-0.04,0.139,0,0,0,0.02
22,4,low,6,0.76,0.59,0,6,0.78,-0.7,0.06,0.25,-0.09,0.194,0,0.049,0,0.03
22,5,low,6,0.73,0.59,0,5,0.81,-0.7,0.09,0.2,-0.09,0.205,0,0.059,0,0.04
22,6,low,7,0.8,0.48,1,7,0.55,-0.457,0.02,0.267,0.02,0.186,0,0.028,0,0.04
22,7,low,5,0.71,0.49,0,4,0.82,-0.536,0.11,0.238,0.01,0.218,0,0.061,0,0.05
22,8,low,4,0.71,0.48,1,2,0.77,-0.607,0.11,0.268,0.02,0.267,0,0.065,0,0.08
23,1,low,18,0.86,0.52,0,4,0.93,0,0,0,0,,0,0,0,0
23,2,low,17,0.77,0.6,1,3,0.62,-1,0.09,0.5,-0.08,0.04,0,0.071,0,0.08
23,3,low,17,0.76,0.57,0,2,0.94,-0.5,0.1,0.333,-0.05,0.033,0,0.055,0,0.05
23,4,low,13,0.75,0.48,1,4,0.83,-1.5,0.11,0.333,0.04,0.136,0,0.104,0,0.1
23,5,low,16,0.78,0.5,1,7,0.91,-0.8,0.08,0.3,0.02,0.119,0,0.062,0,0.07
23,6,low,13,0.74,0.37,1,2,0.88,-0.914,0.12,0.267,0.15,0.138,0,0.097,0,0.11
23,7,low,13,0.73,0.51,1,6,0.67,-0.857,0.13,0.238,0.01,0.145,0,0.081,0,0.09
